content|author
Pháp mầu tồn tại trên mặt đất, không ở trên bầu trời. Trải nghiệm chánh đạo sâu sắc do đức Phật khám phá và truyền bá sẽ chuyển hóa cuộc đời ta tốt đẹp hơn. Đây chính là con đường mang lại phép mầu đích thực cho thế giới khổ đau này.|Thích Nhật Từ
Hòa bình đích thực chỉ đến từ nội tại. Thiếu thực tập thiền chính niệm và tình huynh đệ phổ quát, hòa bình nội tại không thể tồn tại lâu dài và do vậy sự hiện hữu của chúng ta sẽ bị đe dọa.|Thích Nhật Từ
Hàng ngàn ngọn nến được thắp sáng từ một ngọn nến. Rừng thẳm tồn tại nhờ sự nối kết của nhiều cây. Hãy trở thành các ngọn nến sáng soi và các cây xanh hữu dụng cho tất cả chúng sinh.|Thích Nhật Từ
Không có chân lý nào có thể làm chúng ta được tự do, ngoại trừ bạn phải trải nghiệm hành trình giác ngộ một cách không buông lung, sâu sắc và thực tiễn.|Thích Nhật Từ
Mục đích của cuộc sống là sống cuộc đời hạnh phúc, chính niệm, hòa bình và tuệ giác.|Thích Nhật Từ
Nghệ thuật sống hạnh phúc là quên đi quá khứ vốn không còn nữa, không lo lắng tương lai vì chưa đến và sống giây phút hiện tại trong chính niệm và tuệ giác. Tất cả chúng ta có là tại đây và bây giờ.|Thích Nhật Từ
Trong đối thoại, việc bạn thắng hay thua, đối phương đúng hay sai không quan trọng. Điều quan trọng là cách thức bạn nhận chân và sống chân lý một cách an bình.|Thích Nhật Từ
Hãy tin chính mình, lập kế hoạch một cách sâu sắc hướng đến các mục tiêu có thể đạt được, tiến tới phía trước một cách bản lĩnh, giải quyết vấn nạn một cách hiệu quả, theo đó, thành tựu chắc chắn sẽ trong tầm tay của bạn.|Thích Nhật Từ
Nếu từ và bi có thể chuyển hóa thù thành bạn, thì quan điểm chân chính và trí tuệ có khả năng chuyển hóa khổ đau thành hạnh phúc.|Thích Nhật Từ
Người bạn đích thực sẽ lắng nghe ta một cách kiên nhẫn, giúp ta một cách sẵn lòng, nâng đỡ ta một cách vững trải, khuyên ngăn ta một cách khôn ngoan, trị liệu vết thương của ta một cách nhẹ nhàng và giúp ta chuyển hóa khổ đau một cách hiệu quả.|Thích Nhật Từ
Thái độ bi quan và sự bỏ cuộc nửa chừng là những yếu kém nhất. Thất bại là những thềm đá dẫn đến thành công. Hãy tạo động lực cho bản thân, phát triển ý chí thành tựu. Đừng bao giờ bỏ cuộc nửa chừng. Cách duy nhất đạt được thành tựu toàn hảo là nỗ lực thêm nhiều lần nữa với niềm hy vọng và tự tin.|Thích Nhật Từ
Đừng tiếc nuối quá khứ vì đã kết thúc. Đừng bận tâm tương lai vì chưa đến. Hãy nở nụ cười với phút giây hiện tại vì đây là thực tại. Tương lai rạng rỡ của bạn lệ thuộc vào những hành vi chân chính ở hiện tại.|Thích Nhật Từ
Thời gian của chúng ta trên cõi đời thật ngắn ngủi. Có nhiều việc cần phải làm trong quỹ thời gian giới hạn này. Do vậy, hãy quản trị thời gian và từng ngày một cách sâu sắc. Đừng phí phạm cuộc sống và thời gian quý giá.|Thích Nhật Từ
Sở dĩ người ta đau khổ chính vì mãi đeo đuổi những thứ sai lầm.|Đức Phật
Nếu anh không muốn rước phiền não vào mình, thì người khác cũng không cách nào gây phiền não cho bạn. Vì chính tâm bạn không buông xuống nổi.|Đức Phật
Bạn hãy luôn cảm ơn những ai đem đến nghịch cảnh cho mình.|Đức Phật
Bạn phải luôn mở lòng khoan dung lượng thứ cho chúng sanh, cho dù họ xấu bao nhiêu, thậm chí họ đã làm tổn thương bạn, bạn phải buông bỏ, mới có được niềm vui đích thực.|Đức Phật
Khi bạn vui, phải nghĩ rằng niềm vui này không phải là vĩnh hằng. Khi bạn đau khổ, bạn hãy nghĩ rằng nỗi đau này cũng không trường tồn.|Đức Phật
Sự chấp trước của ngày hôm nay sẽ là niềm hối hận cho ngày mai.|Đức Phật
Bạn có thể có tình yêu nhưng đừng nên dính mắc, vì chia ly là lẽ tất nhiên.|Đức Phật
Đừng lãng phí sinh mạng của mình trong những chốn mà nhất định bạn sẽ ân hận.|Đức Phật
Khi nào bạn thật sự buông xuống thì lúc ấy bạn sẽ hết phiền não.|Đức Phật
Mỗi một vết thương đều là một sự trưởng thành.|Đức Phật
Người cuồng vọng còn cứu được, người tự ti thì vô phương, chỉ khi nhận thức được mình, hàng phục chính mình, sửa đổi mình, mới có thể thay đổi người khác.|Đức Phật
Bạn đừng có thái độ bất mãn người ta hoài, bạn phải quay về kiểm điểm chính mình mới đúng. Bất mãn người khác là chuốc khổ cho chính bạn.|Đức Phật
Một người nếu tự đáy lòng không thể tha thứ cho người khác, thì lòng họ sẽ không bao giờ được thanh thản.|Đức Phật
